dataset_id,cell_line,condition_id,fold_id,source_condition_id,target_1,target_2,perturbation_type,hvg_n,n_seeds,n_eval_cells,string_go_pearson_r,gears_pearson_r,scgpt_pearson_r,geneformer_pearson_r,gears_minus_string_go,scgpt_minus_string_go,geneformer_minus_string_go,gears_output_vs_training_mean_r,gears_output_variance,gears_output_norm,gears_gene_order_ok,gears_nondegenerate_output_ok
Adamson_2016,K562,ADAMSON_2016_COND_0001,fold_01,adamson_ATF6,ATF6,,single,200,3,100,0.485228,0.480063,0.484489,0.502401,-0.005165,-0.000739,0.017173,0.135818302,0.848691,1.249263,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0002,fold_02,adamson_XBP1,XBP1,,single,200,3,100,0.3887,0.400786,0.414568,0.422825,0.012086,0.025867,0.034125,0.121767292,0.832946,1.275705,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0003,fold_03,adamson_ERN1,ERN1,,single,200,3,100,0.476509,0.452594,0.462928,0.475688,-0.023915,-0.013581,-0.000821,0.125224605,0.841928,1.249244,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0004,fold_04,adamson_HSPA5,HSPA5,,single,200,3,100,0.477529,0.465041,0.479168,0.491481,-0.012488,0.001639,0.013952,0.127601835,0.846714,1.255116,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0005,fold_05,adamson_DDIT3,DDIT3,,single,200,3,100,0.342783,0.328268,0.341539,0.35182,-0.014515,-0.001244,0.009037,0.110493284,0.835023,1.218975,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0006,fold_06,adamson_MBTPS1,MBTPS1,,single,200,3,100,0.373228,0.358485,0.373042,0.386399,-0.014743,-0.000186,0.013171,0.113889682,0.832764,1.252458,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0007,fold_07,adamson_MBTPS2,MBTPS2,,single,200,3,100,0.363233,0.352447,0.362285,0.374122,-0.010786,-0.000947,0.010889,0.114511943,0.843435,1.238859,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0008,fold_08,adamson_ATF4,ATF4,,single,200,3,100,0.424682,0.443469,0.449234,0.462416,0.018787,0.024552,0.037734,0.124637693,0.836739,1.25748,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0009,fold_09,adamson_EIF2AK3,EIF2AK3,,single,200,3,100,0.464712,0.457102,0.465373,0.474894,-0.00761,0.000661,0.010182,0.126457477,0.840847,1.269044,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0010,fold_10,adamson_MANF,MANF,,single,200,3,100,0.454943,0.468862,0.482331,0.496884,0.013919,0.027388,0.041941,0.133938753,0.844068,1.251858,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0011,fold_11,adamson_EDEM1,EDEM1,,single,200,3,100,0.456995,0.446279,0.453899,0.470242,-0.010716,-0.003095,0.013247,0.126014905,0.854625,1.247737,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0012,fold_12,adamson_EDEM2,EDEM2,,single,200,3,100,0.419328,0.415766,0.42137,0.442743,-0.003561,0.002043,0.023415,0.126844684,0.839795,1.244928,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0013,fold_13,adamson_EDEM3,EDEM3,,single,200,3,100,0.384979,0.352348,0.362407,0.386148,-0.032631,-0.022572,0.001169,0.110253498,0.844239,1.257475,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0014,fold_14,adamson_DNAJC3,DNAJC3,,single,200,3,100,0.434784,0.430586,0.445378,0.460656,-0.004199,0.010594,0.025872,0.119649777,0.832411,1.246134,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0015,fold_15,adamson_HERPUD1,HERPUD1,,single,200,3,100,0.498826,0.497,0.505911,0.521563,-0.001826,0.007085,0.022737,0.122977329,0.845047,1.26812,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0016,fold_16,adamson_SYVN1,SYVN1,,single,200,3,100,0.492646,0.44716,0.46378,0.471222,-0.045485,-0.028866,-0.021423,0.129605427,0.844065,1.254287,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0017,fold_17,adamson_SEL1L,SEL1L,,single,200,3,100,0.432111,0.425261,0.43895,0.446953,-0.00685,0.006839,0.014842,0.124897303,0.850022,1.248494,true,true
Adamson_2016,K562,ADAMSON_2016_COND_0018,fold_18,adamson_DERL1,DERL1,,single,200,3,100,0.40023,0.384063,0.398062,0.409464,-0.016167,-0.002168,0.009235,0.112759110,0.848171,1.242027,true,true
