path,sha256,dataset,hvg,graph,seed,chunk_start,chunk_end,n_rows
results_merged_3seed/hvg1000/adamson__combined__s42f0-10.json,f48b387ae940d96c39f9a6f54b6f6d01ff7d33276f49e11626961880014041c8,adamson,1000,combined,42,0,10,10
results_merged_3seed/hvg1000/adamson__combined__s42f10-20.json,5f7c2b455f448d5220a67cf3b9dc1eb61997033deb010cc49f6461b65cf6fa36,adamson,1000,combined,42,10,20,10
results_merged_3seed/hvg1000/adamson__combined__s42f20-30.json,201a9b884118f2b5f2277149e70e99bb0c53cfe3d634cf871960ec852fbd0319,adamson,1000,combined,42,20,30,10
results_merged_3seed/hvg1000/adamson__combined__s42f30-40.json,166388c123f60bbec32a120dff6f2483c6213af050e47531425771a917d2fe40,adamson,1000,combined,42,30,40,10
results_merged_3seed/hvg1000/adamson__combined__s42f40-50.json,581f9e3bc7a5cb9efee8ec77723f9dd7fec009c2b441a81cb852c24f28661f65,adamson,1000,combined,42,40,50,10
results_merged_3seed/hvg1000/adamson__combined__s43f0-10.json,0080d1279951bb184dbed0316a5b87c2927d7bfb61d58fa99b2ac712b3d7efaa,adamson,1000,combined,43,0,10,10
results_merged_3seed/hvg1000/adamson__combined__s43f10-20.json,3247ef068a4b740649a5a34f64cd7f95cc58c175b4cde521dc180b68d85d18d8,adamson,1000,combined,43,10,20,10
results_merged_3seed/hvg1000/adamson__combined__s43f20-30.json,56df0c01bcdb3632bf6f14cebd1210bdc5129b6af573ee2974f98ba2d044d4cc,adamson,1000,combined,43,20,30,10
results_merged_3seed/hvg1000/adamson__combined__s43f30-40.json,feebc211b59d728773515ea513997b62a145ec827f8175db46844d2e2ac3b225,adamson,1000,combined,43,30,40,10
results_merged_3seed/hvg1000/adamson__combined__s43f40-50.json,93b7067d354d9bf4c508e382babcd5db59476c04066971d7b1ee802728fa5fbb,adamson,1000,combined,43,40,50,10
results_merged_3seed/hvg1000/adamson__combined__s44f0-10.json,ffa3c8f4a3a3949df1e81e63b066cecc69c9e33ae481b577345fe3841c2a1a34,adamson,1000,combined,44,0,10,10
results_merged_3seed/hvg1000/adamson__combined__s44f10-20.json,a1bc90071e164dbcc0aa9dbf31fe546f07704be69d905d521e5e9f8bbcd2b6b0,adamson,1000,combined,44,10,20,10
results_merged_3seed/hvg1000/adamson__combined__s44f20-30.json,11c26aa95cad1cb0ebd5146005746cd83b0c58591aa138b48e2da0b2c095b827,adamson,1000,combined,44,20,30,10
results_merged_3seed/hvg1000/adamson__combined__s44f30-40.json,277872ba21c8a9c3cab7711d01140a2bf8a0f74fa4da6f6191d268f35832bae0,adamson,1000,combined,44,30,40,10
results_merged_3seed/hvg1000/adamson__combined__s44f40-50.json,1f849ec9779affbeb64406c180598760c388e5669dee59fc81c36583de212f98,adamson,1000,combined,44,40,50,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s42f0-10.json,bbedb6a9e1a1e9cae198d5ae1ebabca13ebbeb4861e22128c92a112b2f9067ac,adamson,1000,gene_ontology,42,0,10,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s42f10-20.json,1e1bde0decbc287869ffbe0308f3345c9b795b4bf17705e25b13ec8c4ec64731,adamson,1000,gene_ontology,42,10,20,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s42f20-30.json,a286516f711776d3b9b98d5f83dae5dd97798cea25192fda48fcd6a065007371,adamson,1000,gene_ontology,42,20,30,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s42f30-40.json,1290a3059aa74b216a8e9b2ee8405e8e46858e78e7dcd05e0f3742d030590e49,adamson,1000,gene_ontology,42,30,40,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s42f40-50.json,f4c6abfccf9623f2920b3175c7959dde3d3d8dabe1c232b1d8dd4739620d161f,adamson,1000,gene_ontology,42,40,50,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s44f0-10.json,745d9173d3d0b03658b70f7f1501c3f97f55081ae1338c76fd412eb85d10258a,adamson,1000,gene_ontology,44,0,10,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s44f10-20.json,2f59a387f6a3e16a57ef72bf2fe0a5e89752a11642f7a119cf8789f15e50c9aa,adamson,1000,gene_ontology,44,10,20,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s44f20-30.json,3c34a080f966969fb6e92f22ac6f610636c34f97a3b348462c055bed21f68923,adamson,1000,gene_ontology,44,20,30,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s44f30-40.json,70b78427c41a7a514392ac009d728da231cc18b9306abb2e77a892d09f208cd1,adamson,1000,gene_ontology,44,30,40,10
results_merged_3seed/hvg1000/adamson__gene_ontology__s44f40-50.json,e7f326e2917b30ea7c135a73edd72a8fbcfe2e436109dee39d16b7df4e23a0f1,adamson,1000,gene_ontology,44,40,50,10
results_merged_3seed/hvg1000/adamson__no_graph__s42f0-10.json,4c28691b4a4bbc51e83bd08be759316c22ffbc1e9501ff3d474fdd57e82946e2,adamson,1000,no_graph,42,0,10,10
results_merged_3seed/hvg1000/adamson__no_graph__s42f10-20.json,a13e74914a29fffc986576ad0f02acbd3b071b45bd07f55c38a305844fe6ca6c,adamson,1000,no_graph,42,10,20,10
results_merged_3seed/hvg1000/adamson__no_graph__s42f20-30.json,c0c87e89cdbef14f6c4a85cde4d2f397b7826418d92b233f63c723e0a40fdd9c,adamson,1000,no_graph,42,20,30,10
results_merged_3seed/hvg1000/adamson__no_graph__s42f30-40.json,a4a85d4e2e100a4c28bc980a0521caea1c4b0fd1a3e53e114ab0d244b22d8c53,adamson,1000,no_graph,42,30,40,10
results_merged_3seed/hvg1000/adamson__no_graph__s42f40-50.json,2c163f423e32cc50271a1f64f06c115789049fba9d5c0557d0fa7f89720df898,adamson,1000,no_graph,42,40,50,10
results_merged_3seed/hvg1000/adamson__no_graph__s44f0-10.json,3ef286d826a44a4c80dfdf32838e8f8a9b9fc89ba8e24cdcdb2fce0b4db39a15,adamson,1000,no_graph,44,0,10,10
results_merged_3seed/hvg1000/adamson__no_graph__s44f10-20.json,12de2b32d53d74a8d69537d373ff9eb3f8907bc29038b573af2ace7df9f691aa,adamson,1000,no_graph,44,10,20,10
results_merged_3seed/hvg1000/adamson__no_graph__s44f20-30.json,3a4dcf876e9a618dc4548aba255f02b23d03a07ebe39a38e5d0ff52004fb8e5b,adamson,1000,no_graph,44,20,30,10
results_merged_3seed/hvg1000/adamson__no_graph__s44f30-40.json,9081de1b8bcd850c2fd212ca2a80568ecf400dcf27dd3231ea11bc7b8fcbe143,adamson,1000,no_graph,44,30,40,10
results_merged_3seed/hvg1000/adamson__no_graph__s44f40-50.json,6b60a3ace5b4d9e630193f129a8f930ca2c3b3a762e7ad7de2893929a38eee09,adamson,1000,no_graph,44,40,50,10
results_merged_3seed/hvg1000/adamson__random__s42f0-10.json,0d857cb0ad8e43db41b5fd78e396d23020087388256610d588600510b7e93127,adamson,1000,random,42,0,10,10
results_merged_3seed/hvg1000/adamson__random__s42f10-20.json,403c1231d936630407d39a273788f76cc51505fc087bdbc1bf7ecefaf0c0fc60,adamson,1000,random,42,10,20,10
results_merged_3seed/hvg1000/adamson__random__s42f20-30.json,21428b4b1529b60845df88036bd165a44659076ac4dc6319c0bc33278f310e3a,adamson,1000,random,42,20,30,10
results_merged_3seed/hvg1000/adamson__random__s42f30-40.json,376c5939b7ab04bd1a2bdcd65c2e37075f9086b784a5e0faa807b1214318af60,adamson,1000,random,42,30,40,10
results_merged_3seed/hvg1000/adamson__random__s42f40-50.json,40616ec9030263c69f688e577d8280fb8d5552507dc071e92acd5c22cd41898e,adamson,1000,random,42,40,50,10
results_merged_3seed/hvg1000/adamson__random__s44f0-10.json,b6d61992ddca0af15bc5debd0eb9ae6e44205b2682ceedcf73bff5704ca607bc,adamson,1000,random,44,0,10,10
results_merged_3seed/hvg1000/adamson__random__s44f10-20.json,0f254c67e96e56fcf4e92a94fa3af0a3ea042b3be23f91196706707f58ce5d6f,adamson,1000,random,44,10,20,10
results_merged_3seed/hvg1000/adamson__random__s44f20-30.json,9b9b40c4d52186b36ac7c638286b85d5ee514a9f2a0746fcb99433676add2ac9,adamson,1000,random,44,20,30,10
results_merged_3seed/hvg1000/adamson__random__s44f30-40.json,c73d9e03ceb69c12ed8418f895f909538f9703de94eca221f1b526e8aaf1ab5b,adamson,1000,random,44,30,40,10
results_merged_3seed/hvg1000/adamson__random__s44f40-50.json,33536916bd4c83e95ec3036f16dfaed5d2da2306cefee4f0b87fd96793af0985,adamson,1000,random,44,40,50,10
results_merged_3seed/hvg1000/adamson__string_ppi__s42f0-10.json,231c302161629c06ab9f3d8c93fd593adc061a1764dcb609d5319a97232d33af,adamson,1000,string_ppi,42,0,10,10
results_merged_3seed/hvg1000/adamson__string_ppi__s42f10-20.json,2d3441aff39e2eee6c859fb208c69cc44b35cdb93cde4970f90c082c8c3df0bd,adamson,1000,string_ppi,42,10,20,10
results_merged_3seed/hvg1000/adamson__string_ppi__s42f20-30.json,88bca0d629afc0431a7c02483a144efa9ae362f84ffc9274cbaf66ede6fd1ea0,adamson,1000,string_ppi,42,20,30,10
results_merged_3seed/hvg1000/adamson__string_ppi__s42f30-40.json,a2f59c3c4f1bb499959589061d787df3e093579dd768c79b09e68527b5466913,adamson,1000,string_ppi,42,30,40,10
results_merged_3seed/hvg1000/adamson__string_ppi__s42f40-50.json,256530b5815accb8ecacd3af9a58f452a67cef3470942b61bc43bf90e41788a3,adamson,1000,string_ppi,42,40,50,10
results_merged_3seed/hvg1000/adamson__string_ppi__s43f0-10.json,ab1ad954932321571847c5403bed778cdc3944b02d8f8b91fd97c7fa15b422a1,adamson,1000,string_ppi,43,0,10,10
results_merged_3seed/hvg1000/adamson__string_ppi__s43f10-20.json,92a5bc5e201119f92099aa6d9b2ed6c02dfbb5ab0f505ab0e4a55dc500aba8bf,adamson,1000,string_ppi,43,10,20,10
results_merged_3seed/hvg1000/adamson__string_ppi__s43f20-30.json,8d247629a2439f3eb0068d67ae345e5c79f8dca977db584a8d9d1367196c697a,adamson,1000,string_ppi,43,20,30,10
results_merged_3seed/hvg1000/adamson__string_ppi__s43f30-40.json,5839197c13c4aa6d1f65b5cec80ce4e86a11b8d0f9f48510ae233a2ffeb1c7f0,adamson,1000,string_ppi,43,30,40,10
results_merged_3seed/hvg1000/adamson__string_ppi__s43f40-50.json,3d2686db86da502768d237866ccc3039f685772426713687b1bf7aa76f543c40,adamson,1000,string_ppi,43,40,50,10
results_merged_3seed/hvg1000/norman__combined__s42f0-10.json,963e10004d388ebd7535e6d5b43dcd07db5c869b3c9a27f69b6bf67facdb1af9,norman,1000,combined,42,0,10,10
results_merged_3seed/hvg1000/norman__combined__s42f10-20.json,9c3b49062702bc5e97781d257a5d3d817887e8c4ff11c1d51bf783f257db0092,norman,1000,combined,42,10,20,10
results_merged_3seed/hvg1000/norman__combined__s42f20-30.json,8859adf9a2591d99509c85d4f3d25d310dab51611b0761ae3572b78dcbac6454,norman,1000,combined,42,20,30,10
results_merged_3seed/hvg1000/norman__combined__s42f30-40.json,94f6131f87903e8991d0b80e7c942a2f558a0904c9f48fa837fd9cb5d463eb4b,norman,1000,combined,42,30,40,10
results_merged_3seed/hvg1000/norman__combined__s42f40-50.json,227ed42826ce0c5f1541dd46749f4e660500e203d97bd19aa315775da6a109b8,norman,1000,combined,42,40,50,10
results_merged_3seed/hvg1000/norman__combined__s43f0-10.json,191e2d5bf5900fcc429748149697b47abff30b6a3ec50366c7753f66f3eff9a8,norman,1000,combined,43,0,10,10
results_merged_3seed/hvg1000/norman__combined__s43f10-20.json,81cb6fee4254ea0df5ab501eaa0194feedba68d6903ac250f3b92f3cd66e70e7,norman,1000,combined,43,10,20,10
results_merged_3seed/hvg1000/norman__combined__s43f20-30.json,5d61a015aa7ce13bfcbb8ca02e5ac0c0005b2f872279a2e0d7abfeb974af5574,norman,1000,combined,43,20,30,10
results_merged_3seed/hvg1000/norman__combined__s43f30-40.json,00759bab2ea1190a541cccb29c82198f48c2c804635de6c8cd71e0d67d4260a1,norman,1000,combined,43,30,40,10
results_merged_3seed/hvg1000/norman__combined__s43f40-50.json,fc7c17f4c338a314437f1ca5fcc2dfa773409dfc2c80014b028aacbcf907acb6,norman,1000,combined,43,40,50,10
results_merged_3seed/hvg1000/norman__combined__s44f0-10.json,c9730f8e8e144c0e8809ff623c1bd357650748b0d28bcdac3011577a03731378,norman,1000,combined,44,0,10,10
results_merged_3seed/hvg1000/norman__combined__s44f10-20.json,f69e40bbe16cdaac96d9dabbdc61325bcec8f74a7992312ef7012e6ebf396ada,norman,1000,combined,44,10,20,10
results_merged_3seed/hvg1000/norman__combined__s44f20-30.json,a6f4f70b2c241b6b55125ea626491265a6aaadc0a621af9d941bc1c9d3739e06,norman,1000,combined,44,20,30,10
results_merged_3seed/hvg1000/norman__combined__s44f30-40.json,07d09a2c0407141c4253e0236a3bc3991edbaa1157644bb23f57499f1293169f,norman,1000,combined,44,30,40,10
results_merged_3seed/hvg1000/norman__combined__s44f40-50.json,3f873cfe512985f4448434f4286ade363bde48de786e359aaae5657b0016613e,norman,1000,combined,44,40,50,10
results_merged_3seed/hvg1000/norman__gene_ontology__s42f0-10.json,e995c7ba678421958242679afaaa81f7aff0a5da99d1f1481467d9019db7e823,norman,1000,gene_ontology,42,0,10,10
results_merged_3seed/hvg1000/norman__gene_ontology__s42f10-20.json,45ee74a280f6c92b2faf928b5b44aad563d4c3169cd32b959eaf21e20009b59d,norman,1000,gene_ontology,42,10,20,10
results_merged_3seed/hvg1000/norman__gene_ontology__s42f20-30.json,0eee2e3c87731d9086481db4e4d12ee772123c3386ef5394ffdc3638df3604d9,norman,1000,gene_ontology,42,20,30,10
results_merged_3seed/hvg1000/norman__gene_ontology__s42f30-40.json,05cb1949b7ab813c22f7cde2051e3c84f0bdfd4cc33aae3ee3d38080d27bbbf6,norman,1000,gene_ontology,42,30,40,10
results_merged_3seed/hvg1000/norman__gene_ontology__s42f40-50.json,49f858c1f0f17d9f2dd0539c70c6d947aac9eb0f7103fe70e34ce5a7f97937c9,norman,1000,gene_ontology,42,40,50,10
results_merged_3seed/hvg1000/norman__gene_ontology__s44f0-10.json,44aa13954baa00cb98f6d8c86cf434aa0b30fbde2395ed8dc5169b9394fa2cf6,norman,1000,gene_ontology,44,0,10,10
results_merged_3seed/hvg1000/norman__gene_ontology__s44f10-20.json,a43fcf1bcf26a4805436abca77900c92ef69386aa93cfd70fdfe0dea01122c6b,norman,1000,gene_ontology,44,10,20,10
results_merged_3seed/hvg1000/norman__gene_ontology__s44f20-30.json,c63492dfd645db5e988a6f4f3f3360960391b35befee4dcde0671ecdc80224cf,norman,1000,gene_ontology,44,20,30,10
results_merged_3seed/hvg1000/norman__gene_ontology__s44f30-40.json,583cbbcb793d53c9758f899522bf7afa72d1cf9ef94546261b82c0595b3c56fc,norman,1000,gene_ontology,44,30,40,10
results_merged_3seed/hvg1000/norman__gene_ontology__s44f40-50.json,af99b21fa18d22eb3991353a6ee690a2c831cdf8a4aa438606fc979bdfec6ba9,norman,1000,gene_ontology,44,40,50,10
results_merged_3seed/hvg1000/norman__no_graph__s43f0-10.json,4edc84721ed147806f231635925a4320eac6e4131c7d36f0d38d984965c803e5,norman,1000,no_graph,43,0,10,10
results_merged_3seed/hvg1000/norman__no_graph__s43f10-20.json,0c1da344def30f67afe923969d25c827cc0a3c83d9c9ac6e18167f8e9e402c3f,norman,1000,no_graph,43,10,20,10
results_merged_3seed/hvg1000/norman__no_graph__s43f20-30.json,b0df5a57dabf4133a56d5e616ab5577554953e96da4e5f278b856660655f4fc8,norman,1000,no_graph,43,20,30,10
results_merged_3seed/hvg1000/norman__no_graph__s43f30-40.json,dcdeb636f4649b99fdfcfc70306a03f5b605cf9d93b61e3c42f8fe8fe0239f9b,norman,1000,no_graph,43,30,40,10
results_merged_3seed/hvg1000/norman__no_graph__s43f40-50.json,b27257b7bd8c08b9c9e3af764b48daa5d14c1fe8d21c63def2de397c0f6c4b49,norman,1000,no_graph,43,40,50,10
results_merged_3seed/hvg1000/norman__no_graph__s44f0-10.json,949fe5023a9fbf2e975349c0625687c56cab98259f57b063e73f4a47e11e8fa1,norman,1000,no_graph,44,0,10,10
results_merged_3seed/hvg1000/norman__no_graph__s44f10-20.json,a7a5e457e12c6c828c4f1356e4314797ec4ea7da782db092ee0011a98f09f282,norman,1000,no_graph,44,10,20,10
results_merged_3seed/hvg1000/norman__no_graph__s44f20-30.json,f398da67358a9c8511316236ca7c496d6c7ca1189ffd27bf90c850315eda5c3f,norman,1000,no_graph,44,20,30,10
results_merged_3seed/hvg1000/norman__no_graph__s44f30-40.json,1c2af10da15cc9340170d2dde947ad93e8f2cd3090c2faf9e2b63982d6a29f6c,norman,1000,no_graph,44,30,40,10
results_merged_3seed/hvg1000/norman__no_graph__s44f40-50.json,5d5c26cf0ffbcdfa89b486f555c0ef989ba5df3e7878295feae615a1344908d4,norman,1000,no_graph,44,40,50,10
results_merged_3seed/hvg1000/norman__random__s42f0-10.json,e97bed8dd56876880e515a96efbf4a85c6fc7f7eacd1c9933b25d7e09df46911,norman,1000,random,42,0,10,10
results_merged_3seed/hvg1000/norman__random__s42f10-20.json,206e6a2d291e1cfa97d76aca7783cb6ae383368b311f4fbe6719679a568cbaa8,norman,1000,random,42,10,20,10
results_merged_3seed/hvg1000/norman__random__s42f20-30.json,8ce648ea8eccd732f7bedfc4340140e479ce68e6d3675d19befc2010053ae19a,norman,1000,random,42,20,30,10
results_merged_3seed/hvg1000/norman__random__s42f30-40.json,23d74305ba89452e9fbf273576c1e69bebddbc4f24844389f67a62f674dd5495,norman,1000,random,42,30,40,10
results_merged_3seed/hvg1000/norman__random__s42f40-50.json,b24f780ac34423aa809da4346f1ea544312888785c038ab031573534606c76c0,norman,1000,random,42,40,50,10
