dataset,hvg,graph,seed,condition,pearson_r,spearman_rho,mse,jaccard,source_file
adamson,200,coexpression,44,AMIGO3_pDS434,0.4211951494216919,0.3611746648071449,0.008665764704346657,0.08108108108108109,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,ARHGAP22_pDS458,0.2756739556789398,0.37753843846096163,0.019930195063352585,0.08108108108108109,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,ASCC3_pDS052,0.19361519813537598,0.30238742308088196,0.043674468994140625,0.25,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,ATP5B_pDS055,0.6509449481964111,0.4747357964208676,0.016630763188004494,0.3333333333333333,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,CAD_pDS468,-0.09631013870239258,-0.005163129078226957,0.08033039420843124,0.21212121212121213,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,CARS_pDS460,0.8494061231613159,0.7952523813095329,0.2241070568561554,0.48148148148148145,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,CCND3_pDS006,-0.122561514377594,0.08258756468911724,0.040786296129226685,0.1111111111111111,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,DAD1_pDS499,0.4625704288482666,0.5316642916072903,0.009247229434549809,0.1111111111111111,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,DARS_pDS495,0.7277600169181824,0.57635190879772,0.020206153392791748,0.2903225806451613,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,DDRGK1_pDS041,0.5879155993461609,0.5629745743643592,0.005564419087022543,0.1111111111111111,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,DERL2_pDS042,0.5983805656433105,0.5505782644566115,0.009013772942125797,0.1111111111111111,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,DNAJC19_pDS026,0.8902351260185242,0.823579089477237,0.12508033215999603,0.5384615384615384,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,EIF2AK3_pBA572,0.5456503629684448,0.6038508227146688,0.027819139882922173,0.2903225806451613,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,EIF2B4_pDS491,0.8454879522323608,0.7315040619156227,0.04599326103925705,0.3793103448275862,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,GMPPB_pDS391,0.2249799519777298,0.1393879846996175,0.010093076154589653,0.1111111111111111,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,GNPNAT1_pDS506,-0.1512659341096878,-0.056711917797944954,0.01182609423995018,0.05263157894736842,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,Gal4-4(mod)_pBA582,0.4507787823677063,0.504972624315608,0.00915475282818079,0.08108108108108109,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,HARS_pDS466,0.8369971513748169,0.7525053448231779,0.09707164764404297,0.6666666666666666,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,HSPA9_pDS088,0.7837685346603394,0.7862131553288833,0.32108426094055176,0.5384615384615384,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,HYOU1_pDS089,0.3373369574546814,0.49820445511137784,0.007882485166192055,0.21212121212121213,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,IARS2_pDS090,0.8455711603164673,0.7777172345748822,0.14307035505771637,0.6,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,IDH3A_pDS393,0.22673621773719788,0.284297607440186,0.014056211337447166,0.17647058823529413,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,IER3IP1_pDS002,0.5827573537826538,0.6399699992499813,0.02524297684431076,0.17647058823529413,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,IER3IP1_pDS110,0.5676239728927612,0.5925913147828696,0.017608975991606712,0.25,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,KCTD16_pDS096,0.39514273405075073,0.4060301507537689,0.007131136022508144,0.21212121212121213,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,MRGBP_pDS124,-0.01706191897392273,0.2536338408460212,0.024093441665172577,0.25,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,MTHFD1_pDS395,0.1447199285030365,0.14992724818120456,0.06111079826951027,0.17647058823529413,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,OST4_pDS353,0.5036370754241943,0.5039422875355817,0.0060587539337575436,0.17647058823529413,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,P4HB_pDS397,0.16307774186134338,0.22836720918022957,0.013659251853823662,0.14285714285714285,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,PDIA6_pDS029,0.055481862276792526,0.2844956123903098,0.04002733528614044,0.08108108108108109,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,PSMD4_pDS488,-0.039797425270080566,0.20140261059125794,0.10449317842721939,0.17647058823529413,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,QARS_pDS510,0.8576341271400452,0.7857361434035851,0.10736121982336044,0.42857142857142855,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,SAMM50_pDS156,0.7679179906845093,0.6367779194479862,0.020910024642944336,0.42857142857142855,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,SEC61A1_pDS031,0.6395851373672485,0.6490272256806421,0.04227466881275177,0.42857142857142855,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,SEC61A1_pDS032,0.5771418809890747,0.5518367959198981,0.051660072058439255,0.3333333333333333,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,SEC61B_pDS033,0.4188041687011719,0.3340343508587715,0.008665597066283226,0.17647058823529413,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,SEC61B_pDS162,0.3529808819293976,0.282283057076427,0.011490803211927414,0.14285714285714285,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,SEL1L_pDS373,0.3621429204940796,0.37616290407260183,0.024551324546337128,0.17647058823529413,results_merged_3seed/hvg200/adamson__coexpression__s44f30-40.json
adamson,200,coexpression,44,SLC39A7_pDS219,0.44010964035987854,0.28986274656866423,0.013341951183974743,0.25,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,SLMO2_pDS433,0.826814591884613,0.7694892372309308,0.082383893430233,0.48148148148148145,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,SOCS1_pDS479,0.40348660945892334,0.47052726318157956,0.019346516579389572,0.2903225806451613,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,SPCS2_pDS401,0.4911256432533264,0.47586889672241817,0.0075723594054579735,0.1111111111111111,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,SRPR_pDS482,-0.2113112360239029,-0.2397104927623191,0.026274893432855606,0.05263157894736842,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,STT3A_pDS011,0.4182993769645691,0.3998739968499213,0.00836919154971838,0.08108108108108109,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,TIMM23_pDS284,0.7626706957817078,0.6564209105227632,0.016795819625258446,0.3333333333333333,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,coexpression,44,TMEM167A_pDS038,0.638669490814209,0.7431728580113243,0.018913237378001213,0.25,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,TTI2_pDS408,-0.13868167996406555,0.0824420610515263,0.01339664962142706,0.14285714285714285,results_merged_3seed/hvg200/adamson__coexpression__s44f40-50.json
adamson,200,coexpression,44,UFL1_pDS410,0.5675587058067322,0.49504387609690254,0.006614414509385824,0.21212121212121213,results_merged_3seed/hvg200/adamson__coexpression__s44f20-30.json
adamson,200,coexpression,44,UFM1_pDS040,0.5534741878509521,0.4925058126453162,0.008618210442364216,0.21212121212121213,results_merged_3seed/hvg200/adamson__coexpression__s44f10-20.json
adamson,200,coexpression,44,YIPF5_pDS186,0.5515724420547485,0.571164779119478,0.020674146711826324,0.25,results_merged_3seed/hvg200/adamson__coexpression__s44f0-10.json
adamson,200,combined,42,AMIGO3_pDS434,0.42238837480545044,0.3443202371260413,0.010771472007036209,0.08108108108108109,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
adamson,200,combined,42,ARHGAP22_pDS458,0.2780299782752991,0.3801110027750694,0.020180072635412216,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,ASCC3_pDS052,0.1934492290019989,0.30642927564289096,0.045651260763406754,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
adamson,200,combined,42,ATP5B_pDS055,0.676228404045105,0.5209279685472386,0.015326146967709064,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,CAD_pDS468,-0.09656466543674469,0.011734793369834249,0.0854983702301979,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s42f40-50.json
adamson,200,combined,42,CARS_pDS460,0.8526206612586975,0.7922088052201306,0.21803653240203857,0.48148148148148145,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,CCND3_pDS006,-0.12272842228412628,0.07988899722493063,0.040877003222703934,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,DAD1_pDS499,0.450809121131897,0.5182629565739144,0.011180076748132706,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s42f0-10.json
adamson,200,combined,42,DARS_pDS495,0.745039165019989,0.5741663541588541,0.017613418400287628,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
adamson,200,combined,42,DDRGK1_pDS041,0.5679334998130798,0.5447236180904523,0.008167404681444168,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,DERL2_pDS042,0.5710208415985107,0.5488322208055202,0.011159215122461319,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s42f40-50.json
adamson,200,combined,42,DNAJC19_pDS026,0.9005429744720459,0.843700592514813,0.11560331284999847,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
