dataset,hvg,graph,seed,n_conditions,n_rows,structurally_expected,present
adamson,200,string_ppi,42,50,50,True,True
adamson,200,string_ppi,43,0,0,True,False
adamson,200,string_ppi,44,0,0,True,False
adamson,200,gene_ontology,42,50,50,True,True
adamson,200,gene_ontology,43,50,50,True,True
adamson,200,gene_ontology,44,0,0,True,False
adamson,200,coexpression,42,0,0,True,False
adamson,200,coexpression,43,0,0,True,False
adamson,200,coexpression,44,50,50,True,True
adamson,200,combined,42,50,50,True,True
adamson,200,combined,43,50,50,True,True
adamson,200,combined,44,50,50,True,True
adamson,200,random,42,50,50,True,True
adamson,200,random,43,0,0,True,False
adamson,200,random,44,50,50,True,True
adamson,200,no_graph,42,0,0,True,False
adamson,200,no_graph,43,50,50,True,True
adamson,200,no_graph,44,50,50,True,True
adamson,500,string_ppi,42,50,50,True,True
adamson,500,string_ppi,43,50,50,True,True
adamson,500,string_ppi,44,0,0,True,False
adamson,500,gene_ontology,42,50,50,True,True
adamson,500,gene_ontology,43,50,50,True,True
adamson,500,gene_ontology,44,0,0,True,False
adamson,500,coexpression,42,0,0,False,False
adamson,500,coexpression,43,0,0,False,False
adamson,500,coexpression,44,0,0,False,False
adamson,500,combined,42,50,50,True,True
adamson,500,combined,43,50,50,True,True
adamson,500,combined,44,50,50,True,True
adamson,500,random,42,50,50,True,True
adamson,500,random,43,50,50,True,True
adamson,500,random,44,0,0,True,False
adamson,500,no_graph,42,50,50,True,True
adamson,500,no_graph,43,50,50,True,True
adamson,500,no_graph,44,0,0,True,False
adamson,1000,string_ppi,42,50,50,True,True
adamson,1000,string_ppi,43,50,50,True,True
adamson,1000,string_ppi,44,0,0,True,False
adamson,1000,gene_ontology,42,50,50,True,True
adamson,1000,gene_ontology,43,0,0,True,False
adamson,1000,gene_ontology,44,50,50,True,True
adamson,1000,coexpression,42,0,0,False,False
adamson,1000,coexpression,43,0,0,False,False
adamson,1000,coexpression,44,0,0,False,False
adamson,1000,combined,42,50,50,True,True
adamson,1000,combined,43,50,50,True,True
adamson,1000,combined,44,50,50,True,True
adamson,1000,random,42,50,50,True,True
adamson,1000,random,43,0,0,True,False
adamson,1000,random,44,50,50,True,True
adamson,1000,no_graph,42,50,50,True,True
adamson,1000,no_graph,43,0,0,True,False
adamson,1000,no_graph,44,50,50,True,True
norman,200,string_ppi,42,0,0,True,False
norman,200,string_ppi,43,50,50,True,True
norman,200,string_ppi,44,50,50,True,True
norman,200,gene_ontology,42,50,50,True,True
norman,200,gene_ontology,43,0,0,True,False
norman,200,gene_ontology,44,50,50,True,True
norman,200,coexpression,42,0,0,True,False
norman,200,coexpression,43,50,50,True,True
norman,200,coexpression,44,50,50,True,True
norman,200,combined,42,50,50,True,True
norman,200,combined,43,50,50,True,True
norman,200,combined,44,50,50,True,True
norman,200,random,42,0,0,True,False
norman,200,random,43,50,50,True,True
norman,200,random,44,50,50,True,True
norman,200,no_graph,42,50,50,True,True
norman,200,no_graph,43,0,0,True,False
norman,200,no_graph,44,50,50,True,True
norman,500,string_ppi,42,0,0,True,False
norman,500,string_ppi,43,50,50,True,True
norman,500,string_ppi,44,50,50,True,True
norman,500,gene_ontology,42,50,50,True,True
norman,500,gene_ontology,43,0,0,True,False
norman,500,gene_ontology,44,0,0,True,False
norman,500,coexpression,42,0,0,False,False
norman,500,coexpression,43,0,0,False,False
norman,500,coexpression,44,0,0,False,False
norman,500,combined,42,50,50,True,True
norman,500,combined,43,50,50,True,True
norman,500,combined,44,50,50,True,True
norman,500,random,42,0,0,True,False
norman,500,random,43,50,50,True,True
norman,500,random,44,50,50,True,True
norman,500,no_graph,42,50,50,True,True
norman,500,no_graph,43,0,0,True,False
norman,500,no_graph,44,0,0,True,False
norman,1000,string_ppi,42,0,0,True,False
norman,1000,string_ppi,43,50,50,True,True
norman,1000,string_ppi,44,50,50,True,True
norman,1000,gene_ontology,42,50,50,True,True
norman,1000,gene_ontology,43,0,0,True,False
norman,1000,gene_ontology,44,50,50,True,True
norman,1000,coexpression,42,0,0,False,False
norman,1000,coexpression,43,0,0,False,False
norman,1000,coexpression,44,0,0,False,False
norman,1000,combined,42,50,50,True,True
norman,1000,combined,43,50,50,True,True
norman,1000,combined,44,50,50,True,True
norman,1000,random,42,50,50,True,True
norman,1000,random,43,0,0,True,False
norman,1000,random,44,50,50,True,True
norman,1000,no_graph,42,0,0,True,False
norman,1000,no_graph,43,50,50,True,True
norman,1000,no_graph,44,50,50,True,True
replogle_k562,200,string_ppi,42,50,50,True,True
replogle_k562,200,string_ppi,43,50,50,True,True
replogle_k562,200,string_ppi,44,50,50,True,True
replogle_k562,200,gene_ontology,42,50,50,True,True
replogle_k562,200,gene_ontology,43,50,50,True,True
replogle_k562,200,gene_ontology,44,50,50,True,True
replogle_k562,200,coexpression,42,50,50,True,True
replogle_k562,200,coexpression,43,50,50,True,True
replogle_k562,200,coexpression,44,50,50,True,True
replogle_k562,200,combined,42,50,50,True,True
replogle_k562,200,combined,43,50,50,True,True
replogle_k562,200,combined,44,50,50,True,True
replogle_k562,200,random,42,50,50,True,True
replogle_k562,200,random,43,50,50,True,True
replogle_k562,200,random,44,50,50,True,True
replogle_k562,200,no_graph,42,50,50,True,True
replogle_k562,200,no_graph,43,50,50,True,True
replogle_k562,200,no_graph,44,50,50,True,True
replogle_k562,500,string_ppi,42,50,50,True,True
replogle_k562,500,string_ppi,43,50,50,True,True
replogle_k562,500,string_ppi,44,0,0,True,False
replogle_k562,500,gene_ontology,42,20,20,True,True
replogle_k562,500,gene_ontology,43,40,40,True,True
replogle_k562,500,gene_ontology,44,50,50,True,True
replogle_k562,500,coexpression,42,0,0,False,False
replogle_k562,500,coexpression,43,0,0,False,False
replogle_k562,500,coexpression,44,0,0,False,False
replogle_k562,500,combined,42,50,50,True,True
replogle_k562,500,combined,43,50,50,True,True
replogle_k562,500,combined,44,50,50,True,True
replogle_k562,500,random,42,50,50,True,True
replogle_k562,500,random,43,50,50,True,True
replogle_k562,500,random,44,50,50,True,True
replogle_k562,500,no_graph,42,50,50,True,True
replogle_k562,500,no_graph,43,50,50,True,True
replogle_k562,500,no_graph,44,50,50,True,True
replogle_k562,1000,string_ppi,42,50,50,True,True
replogle_k562,1000,string_ppi,43,50,50,True,True
replogle_k562,1000,string_ppi,44,50,50,True,True
replogle_k562,1000,gene_ontology,42,50,50,True,True
replogle_k562,1000,gene_ontology,43,50,50,True,True
replogle_k562,1000,gene_ontology,44,50,50,True,True
replogle_k562,1000,coexpression,42,0,0,False,False
replogle_k562,1000,coexpression,43,0,0,False,False
replogle_k562,1000,coexpression,44,0,0,False,False
replogle_k562,1000,combined,42,50,50,True,True
replogle_k562,1000,combined,43,50,50,True,True
replogle_k562,1000,combined,44,50,50,True,True
replogle_k562,1000,random,42,50,50,True,True
replogle_k562,1000,random,43,50,50,True,True
replogle_k562,1000,random,44,50,50,True,True
replogle_k562,1000,no_graph,42,50,50,True,True
replogle_k562,1000,no_graph,43,50,50,True,True
replogle_k562,1000,no_graph,44,50,50,True,True
replogle_rpe1,200,string_ppi,42,50,50,True,True
replogle_rpe1,200,string_ppi,43,50,50,True,True
replogle_rpe1,200,string_ppi,44,50,50,True,True
replogle_rpe1,200,gene_ontology,42,0,0,True,False
replogle_rpe1,200,gene_ontology,43,50,50,True,True
replogle_rpe1,200,gene_ontology,44,50,50,True,True
replogle_rpe1,200,coexpression,42,50,50,True,True
replogle_rpe1,200,coexpression,43,50,50,True,True
replogle_rpe1,200,coexpression,44,0,0,True,False
replogle_rpe1,200,combined,42,50,50,True,True
replogle_rpe1,200,combined,43,50,50,True,True
replogle_rpe1,200,combined,44,50,50,True,True
replogle_rpe1,200,random,42,50,50,True,True
replogle_rpe1,200,random,43,50,50,True,True
replogle_rpe1,200,random,44,0,0,True,False
replogle_rpe1,200,no_graph,42,50,50,True,True
replogle_rpe1,200,no_graph,43,50,50,True,True
replogle_rpe1,200,no_graph,44,0,0,True,False
replogle_rpe1,500,string_ppi,42,50,50,True,True
replogle_rpe1,500,string_ppi,43,50,50,True,True
replogle_rpe1,500,string_ppi,44,50,50,True,True
replogle_rpe1,500,gene_ontology,42,50,50,True,True
replogle_rpe1,500,gene_ontology,43,0,0,True,False
replogle_rpe1,500,gene_ontology,44,50,50,True,True
replogle_rpe1,500,coexpression,42,0,0,False,False
replogle_rpe1,500,coexpression,43,0,0,False,False
replogle_rpe1,500,coexpression,44,0,0,False,False
replogle_rpe1,500,combined,42,50,50,True,True
replogle_rpe1,500,combined,43,50,50,True,True
replogle_rpe1,500,combined,44,50,50,True,True
replogle_rpe1,500,random,42,50,50,True,True
replogle_rpe1,500,random,43,50,50,True,True
replogle_rpe1,500,random,44,50,50,True,True
replogle_rpe1,500,no_graph,42,0,0,True,False
replogle_rpe1,500,no_graph,43,50,50,True,True
replogle_rpe1,500,no_graph,44,50,50,True,True
replogle_rpe1,1000,string_ppi,42,50,50,True,True
replogle_rpe1,1000,string_ppi,43,50,50,True,True
replogle_rpe1,1000,string_ppi,44,50,50,True,True
replogle_rpe1,1000,gene_ontology,42,50,50,True,True
replogle_rpe1,1000,gene_ontology,43,50,50,True,True
replogle_rpe1,1000,gene_ontology,44,50,50,True,True
replogle_rpe1,1000,coexpression,42,0,0,False,False
replogle_rpe1,1000,coexpression,43,0,0,False,False
replogle_rpe1,1000,coexpression,44,0,0,False,False
replogle_rpe1,1000,combined,42,50,50,True,True
replogle_rpe1,1000,combined,43,50,50,True,True
replogle_rpe1,1000,combined,44,50,50,True,True
replogle_rpe1,1000,random,42,50,50,True,True
replogle_rpe1,1000,random,43,50,50,True,True
replogle_rpe1,1000,random,44,50,50,True,True
replogle_rpe1,1000,no_graph,42,50,50,True,True
replogle_rpe1,1000,no_graph,43,50,50,True,True
replogle_rpe1,1000,no_graph,44,0,0,True,False
