dataset,hvg,graph,mean_pearson,sd_across_conditions,median_pearson,n_conditions,median_seeds_per_condition
adamson,200,coexpression,0.4404088699072599,0.3047792396209068,0.4768480360507965,50,1.0
adamson,200,combined,0.44101733235021434,0.31101696473357265,0.4723973820606867,50,3.0
adamson,200,gene_ontology,0.4410884762369096,0.3106528653063977,0.47333773225545883,50,2.0
adamson,200,no_graph,0.4306031215004623,0.3030390524249633,0.48400238901376724,50,2.0
adamson,200,random,0.44073703022673727,0.3096563375189954,0.47255610674619675,50,2.0
adamson,200,string_ppi,0.44043690152466297,0.3102170435689738,0.4729141741991043,50,1.0
adamson,500,combined,0.4454572194317976,0.283156309866847,0.45246588687101996,50,3.0
adamson,500,gene_ontology,0.44549631882458923,0.2828955035161003,0.45241763442754745,50,2.0
adamson,500,no_graph,0.4297314439713955,0.27451469708489007,0.44216928631067276,50,2.0
adamson,500,random,0.44481496389955283,0.2828280690663521,0.4519980922341347,50,2.0
adamson,500,string_ppi,0.4453760196641088,0.28296022369936075,0.45057881623506546,50,2.0
adamson,1000,combined,0.4505859789252281,0.26816441969870264,0.43352644642194116,50,3.0
adamson,1000,gene_ontology,0.4508083083666861,0.267983029686691,0.4335036724805832,50,2.0
adamson,1000,no_graph,0.4343755741044879,0.25830593370112925,0.4214957505464554,50,2.0
adamson,1000,random,0.4501342854090035,0.2677921249545096,0.4327896684408188,50,2.0
adamson,1000,string_ppi,0.4505204624682665,0.26809914555709063,0.4325410798192024,50,2.0
norman,200,coexpression,0.5042061110027134,0.3375187015711037,0.6031741797924042,50,2.0
norman,200,combined,0.4874548045235375,0.32073710503855796,0.5889755090077718,50,3.0
norman,200,gene_ontology,0.4711462001781911,0.3112375170194677,0.5576786994934082,50,2.0
norman,200,no_graph,0.5032233444042504,0.34094563751816187,0.6060778349637985,50,2.0
norman,200,random,0.4942149493936449,0.32734343234759866,0.5789846479892731,50,2.0
norman,200,string_ppi,0.499205661341548,0.33392340382529884,0.5885102450847626,50,2.0
norman,500,combined,0.47370534506315987,0.3291192320212135,0.5531892081101735,50,3.0
norman,500,gene_ontology,0.47088399723172186,0.32767405766385604,0.5624544322490692,50,1.0
norman,500,no_graph,0.48992211028933524,0.3455515231545472,0.5598424077033997,50,1.0
norman,500,random,0.44901915137656034,0.3230197256216187,0.5191420763731003,50,2.0
norman,500,string_ppi,0.4803186543472111,0.33833713504551316,0.5603964924812317,50,2.0
norman,1000,combined,0.4774416105014583,0.3215644192600683,0.5540368556976318,50,3.0
norman,1000,gene_ontology,0.47528648004867136,0.31935108310485155,0.5544363409280777,50,2.0
norman,1000,no_graph,0.4750905953999609,0.32739993535277717,0.5472574979066849,50,2.0
norman,1000,random,0.4228253650199622,0.28233444738174995,0.4934028163552284,50,2.0
norman,1000,string_ppi,0.46643483901396393,0.3201107704893103,0.553899496793747,50,2.0
replogle_k562,200,coexpression,0.3109228839476903,0.2922684109022086,0.35169674952824914,50,3.0
replogle_k562,200,combined,0.3138798662771782,0.2945128402854797,0.3490408857663473,50,3.0
replogle_k562,200,gene_ontology,0.3134468426431219,0.2941795965504993,0.3503735810518265,50,3.0
replogle_k562,200,no_graph,0.3099920164048672,0.29206520716512147,0.35346491634845734,50,3.0
replogle_k562,200,random,0.30373412975420555,0.28720294851256645,0.34399514148632687,50,3.0
replogle_k562,200,string_ppi,0.3135322866340478,0.2943836902373655,0.35002959271272027,50,3.0
replogle_k562,500,combined,0.3091503012987475,0.2857391513680685,0.3334289789199829,50,3.0
replogle_k562,500,gene_ontology,0.31309395680204033,0.2881393867069971,0.33377885818481445,50,2.0
replogle_k562,500,no_graph,0.31526796124254663,0.2896737746991749,0.3373415867487589,50,3.0
replogle_k562,500,random,0.3000568406718473,0.2709793702205319,0.3114763175447782,50,3.0
replogle_k562,500,string_ppi,0.31195049894973637,0.28675600296012743,0.3337184116244316,50,2.0
replogle_k562,1000,combined,0.31280511486344037,0.2837474607010841,0.33778940637906396,50,3.0
replogle_k562,1000,gene_ontology,0.3133648054829488,0.28415104417993703,0.3379754821459452,50,3.0
replogle_k562,1000,no_graph,0.31295369372082255,0.28249014806284917,0.33748962481816613,50,3.0
replogle_k562,1000,random,0.18472130865169067,0.20469561773119793,0.16152023896574974,50,3.0
replogle_k562,1000,string_ppi,0.31262356870807706,0.28343440774117057,0.3379247188568115,50,3.0
replogle_rpe1,200,coexpression,0.3697319476585835,0.4164730064419594,0.3705832213163376,50,2.0
replogle_rpe1,200,combined,0.3679433967048923,0.4186130105629861,0.37129761278629303,50,3.0
replogle_rpe1,200,gene_ontology,0.36556438283994797,0.4170304306944081,0.3694182112812996,50,2.0
replogle_rpe1,200,no_graph,0.3654541928786784,0.42314642764215193,0.36952510476112366,50,2.0
replogle_rpe1,200,random,0.36645590404979883,0.4058007827076823,0.3623207360506058,50,2.0
replogle_rpe1,200,string_ppi,0.36965249504894016,0.4190472490734126,0.36870279908180237,50,3.0
replogle_rpe1,500,combined,0.3536289167652527,0.40270372296537066,0.2956394553184509,50,3.0
replogle_rpe1,500,gene_ontology,0.35499859375879167,0.40094819833652545,0.2952955439686775,50,2.0
replogle_rpe1,500,no_graph,0.35366280540823936,0.4074250441012571,0.2925574779510498,50,2.0
replogle_rpe1,500,random,0.35249846825997033,0.3908035352262292,0.29801120857397717,50,3.0
replogle_rpe1,500,string_ppi,0.3567251827319463,0.3999705603882776,0.2958109825849533,50,3.0
replogle_rpe1,1000,combined,0.33971105520923933,0.3907233655454143,0.28467757503191626,50,3.0
replogle_rpe1,1000,gene_ontology,0.33941793024539946,0.3906939127547433,0.28565960129102075,50,3.0
replogle_rpe1,1000,no_graph,0.3377678396832198,0.3984756063085504,0.2845681980252266,50,2.0
replogle_rpe1,1000,random,0.3405955935145418,0.3873907359572141,0.287658746043841,50,3.0
replogle_rpe1,1000,string_ppi,0.3402859101382395,0.3892175106460825,0.2858635981877645,50,3.0
