model,dataset,hvg,scheduled_seed_condition_rows,valid_seed_condition_rows,skipped_seed_condition_rows,seeds_scheduled,conditions_scheduled,conditions_valid_in_all_seeds,valid_row_fraction,skip_reasons
gears,adamson,200,150,150,0,3,50,50,1.0,
gears,adamson,500,150,150,0,3,50,50,1.0,
gears,adamson,1000,150,150,0,3,50,50,1.0,
gears,norman,200,150,150,0,3,50,50,1.0,
gears,norman,500,150,150,0,3,50,50,1.0,
gears,norman,1000,150,150,0,3,50,50,1.0,
gears,replogle_k562,200,150,150,0,3,50,50,1.0,
gears,replogle_k562,500,150,150,0,3,50,50,1.0,
gears,replogle_k562,1000,150,150,0,3,50,50,1.0,
gears,replogle_rpe1,200,150,150,0,3,50,50,1.0,
gears,replogle_rpe1,500,150,150,0,3,50,50,1.0,
gears,replogle_rpe1,1000,150,150,0,3,50,50,1.0,
geneformer,adamson,200,150,126,24,3,50,42,0.84,no_geneformer_token_for_perturbation_gene:24
geneformer,adamson,500,150,126,24,3,50,42,0.84,no_geneformer_token_for_perturbation_gene:24
geneformer,adamson,1000,150,126,24,3,50,42,0.84,no_geneformer_token_for_perturbation_gene:24
geneformer,norman,200,150,78,72,3,50,26,0.52,no_geneformer_token_for_perturbation_gene:72
geneformer,norman,500,150,93,57,3,50,31,0.62,no_geneformer_token_for_perturbation_gene:57
geneformer,norman,1000,150,108,42,3,50,36,0.72,no_geneformer_token_for_perturbation_gene:42
geneformer,replogle_k562,200,150,147,3,3,50,49,0.98,no_geneformer_token_for_perturbation_gene:3
geneformer,replogle_k562,500,150,147,3,3,50,49,0.98,no_geneformer_token_for_perturbation_gene:3
geneformer,replogle_k562,1000,150,147,3,3,50,49,0.98,no_geneformer_token_for_perturbation_gene:3
geneformer,replogle_rpe1,200,150,147,3,3,50,49,0.98,no_geneformer_token_for_perturbation_gene:3
geneformer,replogle_rpe1,500,150,147,3,3,50,49,0.98,no_geneformer_token_for_perturbation_gene:3
geneformer,replogle_rpe1,1000,150,147,3,3,50,49,0.98,no_geneformer_token_for_perturbation_gene:3
scgpt,adamson,200,150,126,24,3,50,42,0.84,no_encoded_perturbation_gene:24
scgpt,adamson,500,150,126,24,3,50,42,0.84,no_encoded_perturbation_gene:24
scgpt,adamson,1000,150,126,24,3,50,42,0.84,no_encoded_perturbation_gene:24
scgpt,norman,200,150,78,72,3,50,26,0.52,no_encoded_perturbation_gene:72
scgpt,norman,500,150,93,57,3,50,31,0.62,no_encoded_perturbation_gene:57
scgpt,norman,1000,150,108,42,3,50,36,0.72,no_encoded_perturbation_gene:42
scgpt,replogle_k562,200,150,150,0,3,50,50,1.0,
scgpt,replogle_k562,500,150,150,0,3,50,50,1.0,
scgpt,replogle_k562,1000,150,150,0,3,50,50,1.0,
scgpt,replogle_rpe1,200,150,150,0,3,50,50,1.0,
scgpt,replogle_rpe1,500,150,150,0,3,50,50,1.0,
scgpt,replogle_rpe1,1000,150,150,0,3,50,50,1.0,
