model,dataset,hvg,n_distinct_held_out_conditions,all_conditions_have_3_foundation_seeds,all_conditions_have_3_turbognn_seeds,foundation_pearson_mean,turbognn_pearson_mean,delta_foundation_minus_turbognn_mean,delta_median,condition_win_rate_foundation,condition_bootstrap_ci95_low,condition_bootstrap_ci95_high,direction
gears,adamson,200,50,True,True,0.011580518297851079,0.44101733235021434,-0.4294368140523633,-0.49220376896361506,0.12,-0.5103570191576146,-0.34553630763602766,turbognn_higher
gears,adamson,500,50,True,True,0.008117307287951306,0.4454572194317976,-0.4373399121438464,-0.44706729240715504,0.08,-0.5106167337538985,-0.36166801502493534,turbognn_higher
gears,adamson,1000,50,True,True,0.023294197199866154,0.45058597892522817,-0.42729178172536203,-0.40934789149711526,0.06,-0.49679143651551566,-0.35643545674835336,turbognn_higher
gears,norman,200,50,True,True,0.013493971638381477,0.4874548045235376,-0.47396083288515606,-0.5561359765318533,0.08,-0.5562966822030333,-0.38021888642540835,turbognn_higher
gears,norman,500,50,True,True,0.004006384657695889,0.4737053450631599,-0.46969896040546394,-0.5420542693076035,0.08,-0.5543852549303944,-0.3750432029771619,turbognn_higher
gears,norman,1000,50,True,True,0.008272764089827729,0.4774416105014583,-0.4691688464116304,-0.5490235360339284,0.1,-0.5506244526215208,-0.3794264426142911,turbognn_higher
gears,replogle_k562,200,50,True,True,0.007073215742905938,0.3138798662771781,-0.3068066505342722,-0.3454123741636674,0.18,-0.38938737075853475,-0.22428439313654483,turbognn_higher
gears,replogle_k562,500,50,True,True,0.015439683652172475,0.3091503012987475,-0.293710617646575,-0.33916704915463924,0.18,-0.36960930795517444,-0.2171805939503638,turbognn_higher
gears,replogle_k562,1000,50,True,True,0.025780123276635987,0.31280511486344037,-0.28702499158680445,-0.32067786529660225,0.2,-0.3608876064037905,-0.2129532103572662,turbognn_higher
gears,replogle_rpe1,200,50,True,True,0.0047361157586177155,0.3679433967048923,-0.36320728094627464,-0.38548472709953785,0.22,-0.47637275257706646,-0.24901860526095462,turbognn_higher
gears,replogle_rpe1,500,50,True,True,0.026389901627165563,0.3536289167652527,-0.3272390151380872,-0.26980683766305447,0.22,-0.4286256594283041,-0.22556687496563735,turbognn_higher
gears,replogle_rpe1,1000,50,True,True,0.01729504394965866,0.33971105520923933,-0.32241601125958064,-0.243354517656068,0.22,-0.42388315617650124,-0.2200248438978257,turbognn_higher
geneformer,adamson,200,42,True,True,0.4125466268539192,0.4043946911595644,0.00815193569435487,0.03196552395820618,0.5952380952380952,-0.0348045307799198,0.04897565732022652,foundation_higher
geneformer,adamson,500,42,True,True,0.4113680143204947,0.4113177982942452,5.021602624938866e-05,0.0250548273324967,0.5952380952380952,-0.03999069393168957,0.03743622513000098,foundation_higher
