dataset,condition,legacy_plus_tokens,contains_plus,contains_underscore,guide_suffix,h5ad_metadata_available,source_perturbation_column,archived_label_in_source_values,legacy_token_full_gene_universe_matches,guaranteed_none_before_hvg_subset
adamson,AMIGO3_pDS434,AMIGO3_pDS434,false,true,true,true,perturbation,true,,true
adamson,ARHGAP22_pDS458,ARHGAP22_pDS458,false,true,true,true,perturbation,true,,true
adamson,ASCC3_pDS052,ASCC3_pDS052,false,true,true,true,perturbation,true,,true
adamson,ATP5B_pDS055,ATP5B_pDS055,false,true,true,true,perturbation,true,,true
adamson,CAD_pDS468,CAD_pDS468,false,true,true,true,perturbation,true,,true
adamson,CARS_pDS460,CARS_pDS460,false,true,true,true,perturbation,true,,true
adamson,CCND3_pDS006,CCND3_pDS006,false,true,true,true,perturbation,true,,true
adamson,DAD1_pDS499,DAD1_pDS499,false,true,true,true,perturbation,true,,true
adamson,DARS_pDS495,DARS_pDS495,false,true,true,true,perturbation,true,,true
adamson,DDRGK1_pDS041,DDRGK1_pDS041,false,true,true,true,perturbation,true,,true
adamson,DERL2_pDS042,DERL2_pDS042,false,true,true,true,perturbation,true,,true
adamson,DNAJC19_pDS026,DNAJC19_pDS026,false,true,true,true,perturbation,true,,true
adamson,EIF2AK3_pBA572,EIF2AK3_pBA572,false,true,true,true,perturbation,true,,true
adamson,EIF2B4_pDS491,EIF2B4_pDS491,false,true,true,true,perturbation,true,,true
adamson,GMPPB_pDS391,GMPPB_pDS391,false,true,true,true,perturbation,true,,true
adamson,GNPNAT1_pDS506,GNPNAT1_pDS506,false,true,true,true,perturbation,true,,true
adamson,Gal4-4(mod)_pBA582,Gal4-4(mod)_pBA582,false,true,true,true,perturbation,true,,true
adamson,HARS_pDS466,HARS_pDS466,false,true,true,true,perturbation,true,,true
adamson,HSPA9_pDS088,HSPA9_pDS088,false,true,true,true,perturbation,true,,true
adamson,HYOU1_pDS089,HYOU1_pDS089,false,true,true,true,perturbation,true,,true
adamson,IARS2_pDS090,IARS2_pDS090,false,true,true,true,perturbation,true,,true
adamson,IDH3A_pDS393,IDH3A_pDS393,false,true,true,true,perturbation,true,,true
adamson,IER3IP1_pDS002,IER3IP1_pDS002,false,true,true,true,perturbation,true,,true
adamson,IER3IP1_pDS110,IER3IP1_pDS110,false,true,true,true,perturbation,true,,true
adamson,KCTD16_pDS096,KCTD16_pDS096,false,true,true,true,perturbation,true,,true
adamson,MRGBP_pDS124,MRGBP_pDS124,false,true,true,true,perturbation,true,,true
adamson,MTHFD1_pDS395,MTHFD1_pDS395,false,true,true,true,perturbation,true,,true
adamson,OST4_pDS353,OST4_pDS353,false,true,true,true,perturbation,true,,true
adamson,P4HB_pDS397,P4HB_pDS397,false,true,true,true,perturbation,true,,true
adamson,PDIA6_pDS029,PDIA6_pDS029,false,true,true,true,perturbation,true,,true
adamson,PSMD4_pDS488,PSMD4_pDS488,false,true,true,true,perturbation,true,,true
