dataset,hvg,contrast,n_conditions,n_complete_3seed,min_common_seeds,median_common_seeds,mean_delta_r,median_delta_r,ci95_low,ci95_high,paired_cohens_d,t_stat,t_p,wilcoxon_stat,wilcoxon_p,fraction_positive,wilcoxon_bh_primary_family
adamson,200,combined - no_graph,50,0,2,2.0,0.010356110911816358,0.013250604271888733,0.004112780462019146,0.01636213631974533,0.4625466259561777,3.2706985582857078,0.0019677326706341427,313.0,0.0013800985654270903,0.78,0.005865418903065134
adamson,200,gene_ontology - no_graph,50,0,1,1.0,0.010247774496674538,0.013513442128896713,0.004052445486187935,0.015998993245884777,0.4687977101469553,3.3149003984963765,0.001730558634413088,313.0,0.0013800985654270903,0.78,0.005865418903065134
adamson,200,random - no_graph,50,0,1,1.0,0.009905195683240891,0.014264196157455444,0.004240535493940115,0.015181387834250923,0.49879745706917017,3.5270306433221608,0.0009233187437968233,294.0,0.0006715891126169993,0.78,
adamson,200,combined - random,50,0,2,2.0,0.00037861468270421027,0.0011389032006263733,-0.0005124195176176726,0.0012597131123766303,0.11617983542135203,0.8215154946357508,0.4153320550842906,543.0,0.3673427625704484,0.56,
adamson,200,string_ppi - random,50,0,1,1.0,-0.0005354597419500351,-0.0004540681838989258,-0.0017872474528849126,0.0007011150047183033,-0.11839294475025122,-0.8371645407754691,0.4065647164243352,562.0,0.4723763440876976,0.46,
adamson,200,gene_ontology - random,50,0,1,1.0,0.0003470772132277489,0.00014452636241912842,-0.00035913858842104675,0.0010664799660444254,0.1333005040005925,0.9425769031440348,0.35052162387226454,554.0,0.4262959591146398,0.56,
adamson,500,combined - no_graph,50,0,2,2.0,0.015727338939905168,0.020205214619636536,0.009714166539721191,0.02146103622764349,0.7370118386152702,5.211460688996229,3.7314658448758896e-06,205.0,1.1033688904760197e-05,0.8,7.346914235858056e-05
adamson,500,string_ppi - no_graph,50,0,2,2.0,0.01564457569271326,0.01970364898443222,0.009620044470764696,0.021234172045253217,0.7320960160251305,5.176700574110252,4.208659621373896e-06,208.0,1.2965142769161275e-05,0.8,7.346914235858056e-05
adamson,500,gene_ontology - no_graph,50,0,2,2.0,0.01576487485319376,0.020481713116168976,0.009529533020220696,0.021414266250096254,0.740314550971913,5.234814392033136,3.4412888538788302e-06,205.0,1.1033688904760197e-05,0.82,7.346914235858056e-05
adamson,500,random - no_graph,50,0,2,2.0,0.015083519928157329,0.01829037070274353,0.00919280235376209,0.020580006085336208,0.7284105787994023,5.150640597570754,4.605468455726774e-06,211.0,1.5207189122179443e-05,0.8,
adamson,500,combined - random,50,0,2,2.0,0.0006438190117478371,0.0006909221410751343,0.00016904426831752063,0.0011132407980039697,0.3720720564537278,2.6309467420845483,0.011350267635053155,377.0,0.011200519477185367,0.6,
adamson,500,string_ppi - random,50,0,2,2.0,0.0005610557645559311,0.00048154592514038086,6.159106642007829e-05,0.0010419978033751247,0.3128279248344105,2.212027469949273,0.03165792136436943,385.0,0.01407853473248366,0.66,
adamson,500,gene_ontology - random,50,0,2,2.0,0.0006813549250364304,0.0006277859210968018,0.00016101883910596372,0.0011818995866924521,0.37294304483619595,2.6371055600003275,0.011171850906760173,378.0,0.011529687649083797,0.62,
adamson,1000,combined - no_graph,50,0,2,2.0,0.016192288305610418,0.020113132894039154,0.010114780720323324,0.022007221636828025,0.7392646101288787,5.227390189133594,3.5310337476638535e-06,203.0,9.898605478397826e-06,0.76,7.346914235858056e-05
adamson,1000,string_ppi - no_graph,50,0,1,1.0,0.015999263823032378,0.02013719081878662,0.009741376373916866,0.02183848614990711,0.7248573064311032,5.125515167700483,5.022922849196337e-06,208.0,1.2965142769161275e-05,0.8,7.346914235858056e-05
adamson,1000,gene_ontology - no_graph,50,0,2,2.0,0.01643273426219821,0.020202018320560455,0.010114329398609697,0.022317108181770882,0.7419084146423042,5.246084710129341,3.3093406148912103e-06,203.0,9.898605478397826e-06,0.76,7.346914235858056e-05
adamson,1000,random - no_graph,50,0,2,2.0,0.015758711304515602,0.01976444572210312,0.009898250739555806,0.021490156742278478,0.7339222914644457,5.189614291584794,4.024727120887331e-06,203.0,9.898605478397826e-06,0.78,
adamson,1000,combined - random,50,0,2,2.0,0.0004335770010948181,0.0003688521683216095,5.5864434689283576e-06,0.0008698729835450649,0.2728570280565457,1.9293905483319151,0.05948363136615517,460.0,0.08760075247442067,0.58,
adamson,1000,string_ppi - random,50,0,1,1.0,0.0002396177127957344,8.172541856765747e-05,-0.0004237015945836902,0.000901403366588054,0.098700839094407,0.6979203263245748,0.4885258520952385,579.0,0.5786292137562761,0.54,
adamson,1000,gene_ontology - random,50,0,2,2.0,0.0006740229576826096,0.0005028396844863892,0.0002738117463886738,0.0010965080354362724,0.44616860959034543,3.1548884939390653,0.002743291439665323,339.0,0.0034275276816781997,0.66,
norman,200,combined - no_graph,50,0,2,2.0,-0.012801830880343914,-0.009213775396347046,-0.024888644852209835,-0.0027944918645080243,-0.3189029351026512,-2.2549842795137813,0.02863633642865316,402.0,0.02237794255729675,0.34,0.07608500469480894
norman,200,string_ppi - no_graph,50,0,1,1.0,-0.004251833949238062,-0.004522413015365601,-0.010377301883883775,0.0019835902759805096,-0.18765215042338323,-1.3269010806861237,0.19069184041714674,479.0,0.12799334338745183,0.42,0.3108409767980973
norman,200,gene_ontology - no_graph,50,0,2,2.0,-0.03207714422605932,-0.014982715249061584,-0.06627782913483679,-0.00550240999436943,-0.2870322502160917,-2.0296245054703226,0.047843639169087945,366.0,0.008085622213709343,0.38,0.030545683918457515
norman,200,random - no_graph,50,0,1,1.0,-0.013744322285056114,-0.015165239572525024,-0.027383463309146462,-0.002314692595042305,-0.30120193452955774,-2.129819304123568,0.03823419739425281,394.0,0.01806109651468013,0.36,
norman,200,combined - random,50,0,2,2.0,-0.010574089298024773,-8.455663919448853e-05,-0.03280376009480096,0.0028788747559301514,-0.152069658596088,-1.0752948680601697,0.28750908345681847,573.0,0.5398998476772991,0.5,
norman,200,string_ppi - random,50,0,2,2.0,0.004990711947903037,0.0037346631288528442,-0.0002228897716850041,0.010818745686206966,0.24615478919295683,1.7405772065988487,0.08803467848242204,469.0,0.10525460779046192,0.56,
norman,200,gene_ontology - random,50,0,1,1.0,-0.017256905734539033,-0.0008431822061538696,-0.04318800942134112,0.0001951427850872179,-0.21014190473466993,-1.4859276584934256,0.14370439531462403,571.0,0.5272794190915597,0.44,
norman,500,combined - no_graph,50,0,1,1.0,-0.01787698270753026,-0.005762733984738588,-0.04657049905508757,0.0019496859544887895,-0.19561708913448891,-1.3832217024297042,0.17286730223666358,477.0,0.12316903051698347,0.38,0.3108409767980973
norman,500,gene_ontology - no_graph,50,0,1,1.0,-0.01903811305761337,-0.006446070969104767,-0.042198684580624105,0.0007246929109095922,-0.24112257116777397,-1.704994051698689,0.0945287376171066,456.0,0.08054833435456032,0.4,0.22822028067125424
norman,500,combined - random,50,0,2,2.0,0.02551630242727697,0.004522539675235748,0.002248908772831783,0.04802484026458109,0.3096714065754815,2.1897075152909937,0.03333654908304383,281.0,0.00039864755038721,0.7,
norman,500,string_ppi - random,50,0,2,2.0,0.03129950297065079,0.0037791694048792124,0.015280074772890657,0.04914822756266221,0.498191171093855,3.522743554077324,0.0009352914579930225,217.0,2.0810681753857807e-05,0.76,
norman,1000,combined - no_graph,50,0,2,2.0,0.0014018616080284118,-0.003138244152069092,-0.005736720971763134,0.009323477610945692,0.05121875066789709,0.36217125921173043,0.7187813997060062,606.0,0.766732668436843,0.42,0.907510621959727
norman,1000,string_ppi - no_graph,50,0,2,2.0,-0.008655756385996938,-0.003342568874359131,-0.023182945922715588,0.002259963230928397,-0.18256099963220482,-1.2909012082012683,0.2027954455247605,589.0,0.645875956795086,0.42,0.907510621959727
norman,1000,gene_ontology - no_graph,50,0,1,1.0,-0.0005515000782907009,-0.0031257271766662598,-0.011036423150449993,0.010602033580187704,-0.014085453559840278,-0.09959919728251258,0.9210689070107818,578.0,0.5720861414815896,0.44,0.907510621959727
norman,1000,random - no_graph,50,0,1,1.0,-0.05492554595693946,-0.01205231249332428,-0.08995729480031878,-0.02434036037931221,-0.4590771431021296,-3.2461656097526297,0.002112319766952211,300.0,0.0008475708983652908,0.3,
norman,1000,combined - random,50,0,2,2.0,0.05518612155690789,0.026221856474876404,0.033244769197655843,0.07788101014494894,0.6754701131719182,4.776294975127081,1.6585721072666354e-05,162.0,8.784112139892386e-07,0.82,
norman,1000,string_ppi - random,50,0,1,1.0,0.049751973822712896,0.016668081283569336,0.020128942548297345,0.08316530380863695,0.43506305495663666,3.0763603640357338,0.0034242251488597404,247.0,9.040639391599825e-05,0.8,
norman,1000,gene_ontology - random,50,0,2,2.0,0.05246111502870918,0.023385703563690186,0.03016927411640063,0.07601850159466265,0.6328152313766335,4.474679413445517,4.5603403283126976e-05,196.0,6.725303951071737e-06,0.78,
replogle_k562,200,combined - no_graph,50,50,3,3.0,0.0038878498723109566,0.0007616877555847168,0.00018845600821077802,0.008013275010821705,0.2717834419650582,1.9217991482771315,0.06045650157911478,498.0,0.18125476399734453,0.54,0.3851663734943571
replogle_k562,200,string_ppi - no_graph,50,50,3,3.0,0.0035402702291806544,0.0006918907165527344,7.827518663058716e-05,0.007206531470951929,0.27345683045893243,1.9336317917929113,0.058945950288233386,497.0,0.1781010477908609,0.56,0.3851663734943571
replogle_k562,200,gene_ontology - no_graph,50,50,3,3.0,0.0034548262382547057,0.0013045941789944968,0.0003643477658430737,0.006680076098379988,0.3007466301576666,2.126599816034887,0.03851450160610588,443.0,0.060701401498306495,0.64,0.18762251372203825
replogle_k562,200,random - no_graph,50,50,3,3.0,-0.006257886650661629,-0.0007036477327346802,-0.017116131860762836,0.0019516542886073307,-0.175040652903546,-1.237724326514181,0.2217164229326442,619.0,0.8632650227005474,0.46,
replogle_k562,200,combined - random,50,50,3,3.0,0.010145736522972586,0.00019671519597371417,0.0005329162602623302,0.02392923540497819,0.2310933102280923,1.634076467491306,0.10865237532548092,519.0,0.2571237847552261,0.52,
replogle_k562,200,string_ppi - random,50,50,3,3.0,0.009798156879842281,0.00046261524160703027,0.0004962095040827991,0.0226731480921929,0.23427916570622712,1.6566038676160004,0.10399019598067584,506.0,0.20795951830847592,0.6,
replogle_k562,200,gene_ontology - random,50,50,3,3.0,0.009712712888916335,0.0011167675256729126,0.0007580101750791075,0.022161292020541925,0.24280193047266094,1.7168689152240315,0.09231885568239556,478.0,0.1255634661063354,0.54,
replogle_k562,500,combined - no_graph,50,50,3,3.0,-0.006117659943799178,0.0010582444568475087,-0.01750682729265342,0.0025547944136584573,-0.164714637699252,-1.1647083727782641,0.2497762605912354,571.0,0.5272794190915597,0.58,0.907510621959727
