condition,pearson_r_left,pearson_r_right,delta_r,n_common_seeds,dataset,hvg,contrast
AMIGO3_pDS434,0.4219958186149597,0.40340395271778107,0.01859186589717865,2,adamson,200,combined - no_graph
ARHGAP22_pDS458,0.27779465913772583,0.30593061447143555,-0.028135955333709717,2,adamson,200,combined - no_graph
ASCC3_pDS052,0.19410282373428345,0.14589738845825195,0.048205435276031494,2,adamson,200,combined - no_graph
ATP5B_pDS055,0.6765274405479431,0.6398650407791138,0.036662399768829346,2,adamson,200,combined - no_graph
CAD_pDS468,-0.09713273122906685,-0.09009736031293869,-0.007035370916128159,2,adamson,200,combined - no_graph
CARS_pDS460,0.852435439825058,0.8385533392429352,0.013882100582122803,2,adamson,200,combined - no_graph
CCND3_pDS006,-0.12284786626696587,-0.07641841471195221,-0.04642945155501366,2,adamson,200,combined - no_graph
DAD1_pDS499,0.45478105545043945,0.4486682415008545,0.006112813949584961,2,adamson,200,combined - no_graph
DARS_pDS495,0.7455152273178101,0.7157357931137085,0.029779434204101562,2,adamson,200,combined - no_graph
DDRGK1_pDS041,0.570037841796875,0.5639536380767822,0.0060842037200927734,2,adamson,200,combined - no_graph
DERL2_pDS042,0.5706894397735596,0.608649879693985,-0.037960439920425415,2,adamson,200,combined - no_graph
DNAJC19_pDS026,0.9006194174289703,0.8747489750385284,0.025870442390441895,2,adamson,200,combined - no_graph
EIF2AK3_pBA572,0.5277109146118164,0.5437034070491791,-0.01599249243736267,2,adamson,200,combined - no_graph
EIF2B4_pDS491,0.8581064343452454,0.8346497416496277,0.023456692695617676,2,adamson,200,combined - no_graph
GMPPB_pDS391,0.22811561822891235,0.19643285870552063,0.031682759523391724,2,adamson,200,combined - no_graph
GNPNAT1_pDS506,-0.1338203400373459,-0.1577823907136917,0.023962050676345825,2,adamson,200,combined - no_graph
Gal4-4(mod)_pBA582,0.4399002492427826,0.48741284012794495,-0.047512590885162354,2,adamson,200,combined - no_graph
HARS_pDS466,0.8393127918243408,0.826043039560318,0.013269752264022827,2,adamson,200,combined - no_graph
HSPA9_pDS088,0.7977267503738403,0.7665670216083527,0.03115972876548767,2,adamson,200,combined - no_graph
HYOU1_pDS089,0.33148279786109924,0.3187249004840851,0.01275789737701416,2,adamson,200,combined - no_graph
IARS2_pDS090,0.8562446236610413,0.821820467710495,0.034424155950546265,2,adamson,200,combined - no_graph
IDH3A_pDS393,0.2243506833910942,0.24145512282848358,-0.017104439437389374,2,adamson,200,combined - no_graph
IER3IP1_pDS002,0.5820508599281311,0.5734416842460632,0.008609175682067871,2,adamson,200,combined - no_graph
IER3IP1_pDS110,0.5762225687503815,0.5493431389331818,0.026879429817199707,2,adamson,200,combined - no_graph
KCTD16_pDS096,0.36762063205242157,0.376058429479599,-0.00843779742717743,2,adamson,200,combined - no_graph
MRGBP_pDS124,-0.015235817059874535,-0.024584890343248844,0.00934907328337431,2,adamson,200,combined - no_graph
MTHFD1_pDS395,0.1360168308019638,0.12580479681491852,0.010212033987045288,2,adamson,200,combined - no_graph
OST4_pDS353,0.49110448360443115,0.48059193789958954,0.010512545704841614,2,adamson,200,combined - no_graph
P4HB_pDS397,0.15969641506671906,0.18216954916715622,-0.022473134100437164,2,adamson,200,combined - no_graph
PDIA6_pDS029,0.04869122803211212,0.03484593331813812,0.013845294713973999,2,adamson,200,combined - no_graph
PSMD4_pDS488,-0.08203026279807091,-0.05397820472717285,-0.028052058070898056,2,adamson,200,combined - no_graph
QARS_pDS510,0.8704274594783783,0.8678627014160156,0.002564758062362671,2,adamson,200,combined - no_graph
SAMM50_pDS156,0.8061149418354034,0.7671535015106201,0.038961440324783325,2,adamson,200,combined - no_graph
SEC61A1_pDS031,0.6376405358314514,0.6103383302688599,0.027302205562591553,2,adamson,200,combined - no_graph
SEC61A1_pDS032,0.5713896751403809,0.547238826751709,0.024150848388671875,2,adamson,200,combined - no_graph
SEC61B_pDS033,0.4144207835197449,0.3821151554584503,0.032305628061294556,2,adamson,200,combined - no_graph
SEC61B_pDS162,0.3669979125261307,0.3296852707862854,0.037312641739845276,2,adamson,200,combined - no_graph
SEL1L_pDS373,0.3573068529367447,0.3494504690170288,0.007856383919715881,2,adamson,200,combined - no_graph
SLC39A7_pDS219,0.44171082973480225,0.4372798502445221,0.004430979490280151,2,adamson,200,combined - no_graph
SLMO2_pDS433,0.846301406621933,0.8081333041191101,0.038168102502822876,2,adamson,200,combined - no_graph
SOCS1_pDS479,0.4046134948730469,0.38945090770721436,0.01516258716583252,2,adamson,200,combined - no_graph
SPCS2_pDS401,0.4949152171611786,0.5022524893283844,-0.0073372721672058105,2,adamson,200,combined - no_graph
SRPR_pDS482,-0.20272435992956161,-0.2159418910741806,0.013217531144618988,2,adamson,200,combined - no_graph
STT3A_pDS011,0.4100842773914337,0.407614529132843,0.0024697482585906982,2,adamson,200,combined - no_graph
TIMM23_pDS284,0.7972754240036011,0.7645475566387177,0.03272786736488342,2,adamson,200,combined - no_graph
TMEM167A_pDS038,0.65073361992836,0.6307905912399292,0.019943028688430786,2,adamson,200,combined - no_graph
TTI2_pDS408,-0.16940222680568695,-0.17400655150413513,0.004604324698448181,2,adamson,200,combined - no_graph
UFL1_pDS410,0.5576610267162323,0.543048769235611,0.014612257480621338,2,adamson,200,combined - no_graph
UFM1_pDS040,0.5497817397117615,0.5365502834320068,0.013231456279754639,2,adamson,200,combined - no_graph
