dataset,hvg,comparison,top10_overlap,top10_jaccard,min_common_seeds,shared_conditions
adamson,200,combined vs string_ppi,10,1.0,1,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,200,combined vs gene_ontology,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,200,combined vs coexpression,10,1.0,1,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,200,combined vs random,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,200,combined vs no_graph,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,500,combined vs string_ppi,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,500,combined vs gene_ontology,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,500,combined vs random,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,500,combined vs no_graph,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SAMM50_pDS156;SLMO2_pDS433;TIMM23_pDS284
adamson,1000,combined vs string_ppi,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SEC61A1_pDS031;SLMO2_pDS433;TIMM23_pDS284
adamson,1000,combined vs gene_ontology,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SEC61A1_pDS031;SLMO2_pDS433;TIMM23_pDS284
adamson,1000,combined vs random,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SEC61A1_pDS031;SLMO2_pDS433;TIMM23_pDS284
adamson,1000,combined vs no_graph,10,1.0,2,CARS_pDS460;DNAJC19_pDS026;EIF2B4_pDS491;HARS_pDS466;HSPA9_pDS088;IARS2_pDS090;QARS_pDS510;SEC61A1_pDS031;SLMO2_pDS433;TIMM23_pDS284
norman,200,combined vs string_ppi,9,0.8181818181818182,2,CDKN1A;CDKN1B;CDKN1C_CDKN1B;HOXB9;LHX1;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,200,combined vs gene_ontology,7,0.5384615384615384,2,CDKN1B;CDKN1C;CDKN1C_CDKN1B;HOXB9;LYL1_IER5L;MAPK1_IKZF3;PTPN1
norman,200,combined vs coexpression,9,0.8181818181818182,2,CDKN1A;CDKN1B;CDKN1C;CDKN1C_CDKN1B;LHX1;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,200,combined vs random,9,0.8181818181818182,2,CDKN1A;CDKN1B;CDKN1C;CDKN1C_CDKN1B;HOXB9;LHX1;LYL1_IER5L;MAPK1_IKZF3;PTPN1
norman,200,combined vs no_graph,9,0.8181818181818182,2,CDKN1A;CDKN1B;CDKN1C;CDKN1C_CDKN1B;HES7;LHX1;LYL1_IER5L;MAPK1_IKZF3;PTPN1
norman,500,combined vs string_ppi,9,0.8181818181818182,2,CDKN1A;CDKN1B;CDKN1C_CDKN1B;HES7;HOXB9;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,500,combined vs gene_ontology,9,0.8181818181818182,1,CDKN1A;CDKN1B;CDKN1C;CDKN1C_CDKN1B;HOXB9;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,500,combined vs random,8,0.6666666666666666,2,CDKN1B;CDKN1C;HES7;HOXB9;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,500,combined vs no_graph,9,0.8181818181818182,1,CDKN1A;CDKN1B;CDKN1C_CDKN1B;HES7;HOXB9;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,1000,combined vs string_ppi,8,0.6666666666666666,2,CDKN1B;HES7;HOXB9;LHX1;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,1000,combined vs gene_ontology,10,1.0,2,CDKN1A;CDKN1B;CDKN1C;HES7;HOXB9;LHX1;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,1000,combined vs random,6,0.42857142857142855,2,CDKN1A;CDKN1B;HES7;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
norman,1000,combined vs no_graph,9,0.8181818181818182,2,CDKN1A;CDKN1B;HES7;HOXB9;LHX1;LYL1_IER5L;MAPK1_IKZF3;PTPN1;SAMD1_PTPN12
replogle_k562,200,combined vs string_ppi,9,0.8181818181818182,3,MED9;NAA38;NUP98;PSMC4;RPL10A;RPL13;RPL5;RPS20;UBL5
replogle_k562,200,combined vs gene_ontology,9,0.8181818181818182,3,MED9;NAA38;NUP98;PSMC4;RPL10A;RPL13;RPL5;RPS20;UBL5
replogle_k562,200,combined vs coexpression,9,0.8181818181818182,3,MED9;NAA38;NUP98;PSMC4;RPL10A;RPL13;RPL5;RPS20;UBL5
replogle_k562,200,combined vs random,8,0.6666666666666666,3,MED9;NAA38;NUP98;PSMC4;RPL10A;RPL13;RPL5;UBL5
replogle_k562,200,combined vs no_graph,7,0.5384615384615384,3,MED9;NAA38;NUP98;RPL10A;RPL13;RPL5;UBL5
replogle_k562,500,combined vs string_ppi,9,0.8181818181818182,2,BUB1;MED1;MED9;NAA38;NUP98;RPL10A;RPL13;RPL5;UBL5
replogle_k562,500,combined vs gene_ontology,9,0.8181818181818182,2,BUB1;MED1;MED9;NAA38;NUP98;RPL10A;RPL13;RPL5;UBL5
replogle_k562,500,combined vs random,8,0.6666666666666666,3,BUB1;MED1;MED9;NAA38;NUP98;RPL5;RRM2;UBL5
replogle_k562,500,combined vs no_graph,9,0.8181818181818182,3,BUB1;MED1;MED9;NAA38;NUP98;RPL10A;RPL13;RPL5;UBL5
replogle_k562,1000,combined vs string_ppi,10,1.0,3,BUB1;MED1;MED10;MED9;NAA38;NUP98;RPL10A;RPL13;RPL5;UBL5
replogle_k562,1000,combined vs gene_ontology,10,1.0,3,BUB1;MED1;MED10;MED9;NAA38;NUP98;RPL10A;RPL13;RPL5;UBL5
replogle_k562,1000,combined vs random,4,0.25,3,BUB1;MED1;NAA38;NUP98
replogle_k562,1000,combined vs no_graph,9,0.8181818181818182,3,BUB1;MED1;MED9;NAA38;NUP98;RPL10A;RPL13;RPL5;UBL5
replogle_rpe1,200,combined vs string_ppi,9,0.8181818181818182,3,DDX46;HAUS3;HEATR1;NOLC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,200,combined vs gene_ontology,9,0.8181818181818182,2,DDX46;HAUS3;HEATR1;NOLC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,200,combined vs coexpression,9,0.8181818181818182,2,DDX46;HAUS3;HEATR1;NOLC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,200,combined vs random,9,0.8181818181818182,2,DDX46;HAUS3;HEATR1;NOLC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,200,combined vs no_graph,9,0.8181818181818182,2,DDX46;HAUS3;HEATR1;NOLC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,500,combined vs string_ppi,10,1.0,3,DDX46;HAUS3;HEATR1;NOLC1;PRC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,500,combined vs gene_ontology,10,1.0,2,DDX46;HAUS3;HEATR1;NOLC1;PRC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,500,combined vs random,9,0.8181818181818182,3,DDX46;HAUS3;HEATR1;NOLC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,500,combined vs no_graph,10,1.0,2,DDX46;HAUS3;HEATR1;NOLC1;PRC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,1000,combined vs string_ppi,10,1.0,3,DDX46;HAUS3;HEATR1;NOLC1;PRC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,1000,combined vs gene_ontology,10,1.0,3,DDX46;HAUS3;HEATR1;NOLC1;PRC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,1000,combined vs random,10,1.0,3,DDX46;HAUS3;HEATR1;NOLC1;PRC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
replogle_rpe1,1000,combined vs no_graph,10,1.0,2,DDX46;HAUS3;HEATR1;NOLC1;PRC1;PSTK;RRP12;RUVBL2;TRMT112;VPS35
